date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:14	22406/22406	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Jan%202013%2021:40:24%20GMT	http://api.jquery.com/jquery-wp-content/themes/jquery/images/projectlogosfull-small.png	/Users/benoit/websites/api.jquery.com/api.jquery.com/jquery-wp-content/themes/jquery/images/projectlogosfull-small.png	(from http://api.jquery.com/)
16:40:14	67185/67185	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:13%20GMT	http://api.jquery.com/category/manipulation/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/index.html	(from http://api.jquery.com/)
16:40:15	29065/29065	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:13%20GMT	http://api.jquery.com/category/manipulation/class-attribute/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/class-attribute/index.html	(from http://api.jquery.com/)
16:40:16	42064/42064	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:14%20GMT	http://api.jquery.com/category/css/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/css/index.html	(from http://api.jquery.com/)
16:40:16	47427/47427	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:14%20GMT	http://api.jquery.com/addClass/	/Users/benoit/websites/api.jquery.com/api.jquery.com/addClass/index.html	(from http://api.jquery.com/)
16:40:16	27678/27678	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:15%20GMT	http://api.jquery.com/category/manipulation/dom-insertion-outside/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/dom-insertion-outside/index.html	(from http://api.jquery.com/)
16:40:17	50975/50975	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:15%20GMT	http://api.jquery.com/after/	/Users/benoit/websites/api.jquery.com/api.jquery.com/after/index.html	(from http://api.jquery.com/)
16:40:18	41057/41057	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:15%20GMT	http://api.jquery.com/category/ajax/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/ajax/index.html	(from http://api.jquery.com/)
16:40:18	29272/29272	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:16%20GMT	http://api.jquery.com/category/ajax/global-ajax-event-handlers/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/ajax/global-ajax-event-handlers/index.html	(from http://api.jquery.com/)
16:40:18	33956/33956	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:16%20GMT	http://api.jquery.com/ajaxComplete/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxComplete/index.html	(from http://api.jquery.com/)
16:40:19	33669/33669	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:17%20GMT	http://api.jquery.com/ajaxSend/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxSend/index.html	(from http://api.jquery.com/)
16:40:19	33893/33893	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:17%20GMT	http://api.jquery.com/ajaxError/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxError/index.html	(from http://api.jquery.com/)
16:40:20	31939/31939	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:18%20GMT	http://api.jquery.com/ajaxStart/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxStart/index.html	(from http://api.jquery.com/)
16:40:21	34053/34053	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:19%20GMT	http://api.jquery.com/ajaxSuccess/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxSuccess/index.html	(from http://api.jquery.com/)
16:40:21	32075/32075	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:18%20GMT	http://api.jquery.com/ajaxStop/	/Users/benoit/websites/api.jquery.com/api.jquery.com/ajaxStop/index.html	(from http://api.jquery.com/)
16:40:21	86593/86593	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:19%20GMT	http://api.jquery.com/category/selectors/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/index.html	(from http://api.jquery.com/)
16:40:22	40806/40806	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:20%20GMT	http://api.jquery.com/all-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/all-selector/index.html	(from http://api.jquery.com/)
