date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:39	33368/33368	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:37%20GMT	http://api.jquery.com/category/forms/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/forms/index.html	(from http://api.jquery.com/)
17:00:39	33289/33289	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:38%20GMT	http://api.jquery.com/blur/	/Users/benoit/websites/api.jquery.com/api.jquery.com/blur/index.html	(from http://api.jquery.com/)
17:00:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202013%2016:00:39%20GMT	http://api.jquery.com/appendTo	/Users/benoit/websites/api.jquery.com/api.jquery.com/appendTo.7.delayed	(from http://api.jquery.com/)
17:00:40	36750/36750	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:38%20GMT	http://api.jquery.com/category/selectors/form-selectors/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/form-selectors/index.html	(from http://api.jquery.com/)
17:00:41	38276/38276	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:39%20GMT	http://api.jquery.com/button-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/button-selector/index.html	(from http://api.jquery.com/)
17:00:41	31880/31880	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:39%20GMT	http://api.jquery.com/category/callbacks-object/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/callbacks-object/index.html	(from http://api.jquery.com/)
17:00:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202013%2016:00:40%20GMT	http://api.jquery.com/append	/Users/benoit/websites/api.jquery.com/api.jquery.com/append.8.delayed	(from http://api.jquery.com/)
17:00:41	31679/31679	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:40%20GMT	http://api.jquery.com/callbacks.add/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.add/index.html	(from http://api.jquery.com/)
17:00:42	30276/30276	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:40%20GMT	http://api.jquery.com/callbacks.disable/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.disable/index.html	(from http://api.jquery.com/)
17:00:42	30343/30343	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:40%20GMT	http://api.jquery.com/callbacks.disabled/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.disabled/index.html	(from http://api.jquery.com/)
17:00:44	30922/30922	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:41%20GMT	http://api.jquery.com/callbacks.empty/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.empty/index.html	(from http://api.jquery.com/)
17:00:44	31641/31641	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:41%20GMT	http://api.jquery.com/callbacks.fire/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.fire/index.html	(from http://api.jquery.com/)
17:00:44	29751/29751	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:42%20GMT	http://api.jquery.com/callbacks.fired/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.fired/index.html	(from http://api.jquery.com/)
17:00:44	30148/30148	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:42%20GMT	http://api.jquery.com/callbacks.fireWith/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.fireWith/index.html	(from http://api.jquery.com/)
17:00:45	40545/40545	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:43%20GMT	http://api.jquery.com/callbacks.lock/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.lock/index.html	(from http://api.jquery.com/)
17:00:45	30243/30243	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:43%20GMT	http://api.jquery.com/callbacks.locked/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.locked/index.html	(from http://api.jquery.com/)
17:00:45	30587/30587	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:43%20GMT	http://api.jquery.com/callbacks.has/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.has/index.html	(from http://api.jquery.com/)
17:00:45	30801/30801	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:44%20GMT	http://api.jquery.com/callbacks.remove/	/Users/benoit/websites/api.jquery.com/api.jquery.com/callbacks.remove/index.html	(from http://api.jquery.com/)
17:00:46	41943/41943	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:44%20GMT	http://api.jquery.com/change/	/Users/benoit/websites/api.jquery.com/api.jquery.com/change/index.html	(from http://api.jquery.com/)
17:00:46	37604/37604	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:44%20GMT	http://api.jquery.com/checkbox-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/checkbox-selector/index.html	(from http://api.jquery.com/)
17:00:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202013%2016:00:45%20GMT	http://api.jquery.com/insertBefore	/Users/benoit/websites/api.jquery.com/api.jquery.com/insertBefore.9.delayed	(from http://api.jquery.com/)
17:00:47	42899/42899	U--MC-	200	updated ('OK')	text/html	date:Tue,%2019%20Feb%202013%2016:00:45%20GMT	http://api.jquery.com/checked-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/checked-selector/index.html	(from http://api.jquery.com/)
